qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
SCOF_mean,K,0.026589696715025438,0.009487664068358272,0.04653379115985565,0.025943463125363473,0.9756960902342001,0.04128985313875538,0.014732934347122154,-0.026589696715025438,9,0.12879530777535214,freeze
SCOF_mean,mu_eff,0.6439765388767607,0.5425963723197538,0.7921416353217148,0.17587768166617262,0.2731119397190194,1.0,0.8425716459580397,0.6439765388767607,8,0.12879530777535214,RETAIN
SCOF_mean,phi,0.0326529903017382,0.016835444502178356,0.0585864923114528,0.043212238025649365,1.3233776639240626,0.0507052482978531,0.026142946964408272,-0.009927383565753473,7,0.12879530777535214,freeze
h_r,X,0.012895490117931138,0.009055544346132555,0.017342581525165414,0.005887911227753359,0.4565868512098068,1.0,0.7022256822593234,0.012895490117931138,9,0.0025790980235862277,RETAIN
h_r,h,0.0019623298429190094,0.0008739350017709027,0.0032368849753860417,0.0014675122004533547,0.7478417584835776,0.1521717922291605,0.06777059218212256,-0.0019623298429190094,7,0.0025790980235862277,freeze
h_r,w,0.00422623381314906,0.001997217437223886,0.006642317272446846,0.00343914612831051,0.8137614434890734,0.32772959961192133,0.15487720272428898,-0.00422623381314906,10,0.0025790980235862277,RETAIN?
h_r,eps_c,0.0012304566314577413,0.00042011629874122235,0.0023661798843772697,0.0018480146657885394,1.501893377257163,0.09541759329851258,0.03257854450658312,-0.00020641925371201603,8,0.0025790980235862277,freeze
h_r,beta,0.0024250749652112943,0.0011508587707168762,0.004247712306315064,0.0021857397152401695,0.9013081024692069,0.1880560523899154,0.08924505855862049,-0.0024250749652112943,8,0.0025790980235862277,freeze
h_r,K,0.0006769722906475634,0.00017621487653509668,0.0013392067075505712,0.0010237219676215623,1.5122066024922713,0.0524968252045136,0.013664845222910175,-0.00039126231598807904,9,0.0025790980235862277,freeze
h_r,mu_eff,0.005216197376915481,0.0023689759535365394,0.008420591249200677,0.003982278439391707,0.7634447379264176,0.40449779955725573,0.1837057709223852,0.005216197376915481,8,0.0025790980235862277,RETAIN?
h_r,phi,0.0008389357150781882,0.0002653645151998919,0.0019512938226472262,0.0012712977272690022,1.5153696575553683,0.06505652033431834,0.02057808681741405,0.0006269994671758823,7,0.0025790980235862277,freeze
h_p,X,0.010438926627292728,0.007807455235435911,0.013260188339833093,0.003815922720494284,0.3655474223295619,1.0,0.7479174357853233,0.010438926627292728,9,0.0020877853254585455,RETAIN
h_p,h,0.0023796333762820315,0.0012074010941146218,0.003498381161666291,0.002897252664792547,1.2175206036651116,0.22795766856531446,0.11566333754639618,-0.0004284013559588103,7,0.0020877853254585455,RETAIN?
h_p,w,0.003936161907387408,0.0025045818630320127,0.005475937087948631,0.003315719986144129,0.8423738820095712,0.37706577006646014,0.2399271450460957,-0.003164229190119057,10,0.0020877853254585455,RETAIN
h_p,eps_c,0.0013097363135767593,0.00036396856052718017,0.0024287609735247394,0.0016822498129498808,1.284418699788375,0.12546656953718158,0.03486647368279982,-0.0009285718045769787,8,0.0020877853254585455,freeze
h_p,beta,0.0037020518088142816,0.002381951978995365,0.005298181618132914,0.0019881122942790827,0.5370298410048046,0.3546391253613386,0.2281797797838445,-0.0037020518088142816,8,0.0020877853254585455,RETAIN
h_p,K,0.0031926573083169213,0.0016059305901073356,0.0049845143593262664,0.0023406170924952932,0.7331250636884672,0.30584153163503147,0.15384058605303408,0.0031926573083169213,9,0.0020877853254585455,RETAIN?
h_p,mu_eff,0.003925521520689809,0.0015251613136704006,0.00759803848714545,0.005580287070742848,1.4215403077862265,0.3760464711406703,0.14610326982113694,-0.0019786890212454833,8,0.0020877853254585455,RETAIN?
h_p,phi,0.00085187100715925,0.00027947937937682765,0.0015129446011611445,0.0007792206904283243,0.9147167633123305,0.0816052298836952,0.02677280810137363,0.00085187100715925,7,0.0020877853254585455,freeze
