id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],SCOF_mean [-],SCOF_std [-],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00023,OK,2,4,mu_eff,-1,Design_00023_Results.csv,,2.0,3514.0,0.04479926989437512,0.6857335300147995,1.5520830229169924,0.8849211931228638,0.02915793902865009,0.7435054183006287,1.6926909155240077,0.0003509306828064046,6.038918972015381,1.9369010925292969,0.2521015981240332,0.05304145068065085,0.02649652497913319,0.02264387567860289,0.02927212797064485,,1,1.0,60.0,1.0,0.45,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,1.0,1.0,0.0,0.05,0.3333333333,0.3166666667
00024,SUSPECT,2,5,h,-1,Design_00024_Results.csv,,2.0,4490.0,0.04445087036336219,0.6857335300147995,2.4189731066349127,0.8449468612670898,0.06919533642271761,0.7015663981437683,2.5809085179759164,0.0003379134935298668,5.3128862380981445,1.815549612045288,0.26187578475392703,0.060289277439854044,0.027459164065656426,0.026111902207520576,0.03627912696741271,AE_IE_final=2.42%>2; ALLPW=2.58%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,1.0,1.0,0.0,0.05,0.3333333333,0.3166666667
00025,SUSPECT,2,6,K,-1,Design_00025_Results.csv,,2.0,10177.0,0.046038202994761225,0.6857335300147995,2.6450971414263096,0.8700258731842041,0.18848573388125955,0.7266323566436768,2.6356632021869184,0.0003275705152203407,5.436712741851807,1.8965861797332764,0.2663943600059065,0.061119714960628645,0.02747329313589482,0.026878448260056077,0.03921717616919803,AE_IE_final=2.65%>2; ALLPW=2.64%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,0.3333333333,0.852,0.0,0.05,0.3333333333,0.3166666667
00026,SUSPECT,2,7,eps_c,-1,Design_00026_Results.csv,,2.0,8509.0,0.048879333435007416,0.6857335300147995,2.6512848474859028,0.8619179129600525,0.162477672926465,0.7173516750335693,2.8124732678481914,0.00028918970114131224,5.295903205871582,1.854705810546875,0.2679334294341562,0.06070867894705629,0.02743725572420777,0.026632832909567507,0.03893999783832914,AE_IE_final=2.65%>2; ALLPW=2.81%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,0.3333333333,0.1,0.0,1.0,0.3333333333,0.852,0.0,0.05,0.3333333333,0.3166666667
00027,SUSPECT,2,8,beta,1,Design_00027_Results.csv,,2.0,10317.0,0.033077352456393525,0.6857335300147995,1.8950402286990593,0.9513288140296936,0.19112650901601808,0.8073607683181763,2.2226790401818874,0.0003637002890924534,6.5702691078186035,2.1101956367492676,0.2357770466656703,0.062465468210220136,0.025712611618864727,0.02254967482953153,0.03188747093146143,ALLPW=2.22%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,0.3333333333,0.1,0.6666666667,23.66666667,0.3333333333,0.852,0.0,0.05,0.3333333333,0.3166666667
00028,SUSPECT,3,0,,0,Design_00028_Results.csv,,2.0,5551.0,0.1411868819132271,0.6907667223666941,6.478369780149686,1.5942587852478027,0.35045967527321714,1.1575735807418823,3.3867769324397923,0.0007323061616285766,2.219944477081299,2.691176176071167,1.0549976409926287,0.13126915810040812,0.03010117218175195,0.02093347758312053,0.0769816767723833,AE_IE_final=6.48%>2; ALLPW=3.39%>2,1,1.0,60.0,0.3333333333,0.15,0.0,-0.35,0.0,0.05,0.0,1.0,0.6666666667,0.926,1.0,0.45,0.3333333333,0.3166666667
00029,SUSPECT,3,1,K,-1,Design_00029_Results.csv,,2.0,5513.0,0.08278226237914427,0.6907667223666941,6.419268333339039,1.5837645530700684,0.4423323186680596,1.1890180110931396,2.8313594984185864,0.0004943958960193093,1.9628183841705322,2.4915478229522705,1.0726655502952473,0.14620443447567588,0.030144405136210153,0.014003705108679067,0.08549981805671984,AE_IE_final=6.42%>2; ALLPW=2.83%>2,1,1.0,60.0,0.3333333333,0.15,0.0,-0.35,0.0,0.05,0.0,1.0,0.0,0.778,1.0,0.45,0.3333333333,0.3166666667
00030,SUSPECT,3,2,phi,1,Design_00030_Results.csv,,2.0,7711.0,0.06323906845572182,0.6405842641481665,6.137281656681759,1.4952669143676758,0.4755144427565899,1.0918127298355103,2.618827655572641,0.0006252788971720565,2.4148998260498047,2.494932174682617,0.8949170399916188,0.12137532478481249,0.029996697653570128,0.016260287360406037,0.08064777793037482,AE_IE_final=6.14%>2; ALLPW=2.62%>2,1,1.0,60.0,0.3333333333,0.15,0.0,-0.35,0.0,0.05,0.0,1.0,0.0,0.778,1.0,0.45,1.0,0.95
00031,SUSPECT,3,3,h,1,Design_00031_Results.csv,,2.0,7400.0,0.056983751246092784,0.6405842641481665,3.029393770340041,2.4380292892456055,0.14056437842832606,1.4558123350143433,2.9965859881773973,0.0006998452453052746,5.560283184051514,5.302906513214111,0.8587043263292201,0.07524373162328914,0.025946918573708164,0.018642277299895902,0.06793103518094186,AE_IE_final=3.03%>2; ALLPW=3%>2,1,1.0,60.0,1.0,0.45,0.0,-0.35,0.0,0.05,0.0,1.0,0.0,0.778,1.0,0.45,1.0,0.95
00032,SUSPECT,3,4,eps_c,1,Design_00032_Results.csv,,2.0,7556.0,0.050261498984546196,0.6405842641481665,3.1646941424801613,2.5911426544189453,0.18356216369280937,1.563395380973816,3.021211161350161,0.0007454494006455684,6.135006427764893,5.890650272369385,0.8584713116492085,0.07728478472648352,0.025391176179016192,0.01786115846968262,0.0689088796713366,AE_IE_final=3.16%>2; ALLPW=3.02%>2,1,1.0,60.0,1.0,0.45,0.0,-0.35,0.6666666667,0.15,0.0,1.0,0.0,0.778,1.0,0.45,1.0,0.95
00033,SUSPECT,3,5,mu_eff,-1,Design_00033_Results.csv,,2.0,6800.0,0.046875105770178734,0.6132867601248025,2.700730888542719,1.410212755203247,0.3422022776613009,0.9445291757583618,2.2476339152348634,0.00021749956524164465,6.066514492034912,3.1038029193878174,0.4353096079765854,0.05633963719065811,0.026005006784292097,0.022639485648186915,0.051021247931027164,AE_IE_final=2.7%>2; ALLPW=2.25%>2,1,1.0,60.0,1.0,0.45,0.0,-0.35,0.6666666667,0.15,0.0,1.0,0.0,0.778,0.3333333333,0.1833333333,1.0,0.95
