qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
SCOF_mean,beta,0.07206075575770887,0.040905807156565416,0.10731549729690545,0.04391028556587713,0.6093508887627747,0.11093752477589175,0.06297448517147787,-0.07206075575770887,8,0.1299123193946881,freeze
SCOF_mean,K,0.02454750162858387,0.009132857758992537,0.042246204955066036,0.0235998841472524,0.961396581384558,0.03779087578908637,0.014060033415685385,-0.02454750162858387,9,0.1299123193946881,freeze
SCOF_mean,mu_eff,0.6495615969734405,0.5491787494614201,0.7923616549297643,0.17159587428554618,0.2641718277143814,1.0,0.8454606183928621,0.6495615969734405,8,0.1299123193946881,RETAIN
SCOF_mean,phi,0.036112338758320255,0.018817664514795458,0.06049302149771396,0.04657561294524934,1.2897423580608818,0.055594941151973346,0.028969792245222403,-0.0048534622653371015,7,0.1299123193946881,freeze
h_r,X,0.015012188101686499,0.011635197084588147,0.018448710383103705,0.004787757262907211,0.31892467843307565,1.0,0.7750500463873768,0.015012188101686499,9,0.0030024376203373,RETAIN
h_r,h,0.0035157093514893824,0.001202888968991098,0.006375785695489433,0.00320132447281993,0.9105771133963997,0.23419033439198786,0.0801274911320864,-0.0035157093514893824,7,0.0030024376203373,RETAIN?
h_r,w,0.004160226595147607,0.0026437601232138824,0.005845970166928621,0.002398310666483063,0.5764855859727444,0.2771232659068693,0.17610758040774063,-0.004160226595147607,10,0.0030024376203373,RETAIN?
h_r,eps_c,0.0009948290897935474,0.0004950420424716099,0.0015826597525553656,0.0012742111967549527,1.2808342757843805,0.06626809383515428,0.03297600850178502,-2.5038572346510585e-05,8,0.0030024376203373,freeze
h_r,beta,0.004008042265022324,0.0028142193245959805,0.005593665472428101,0.001944258937061022,0.4850894298267069,0.2669858809304456,0.18746230100060002,-0.004008042265022324,8,0.0030024376203373,RETAIN?
h_r,K,0.0009217392073400076,0.0003003862483661451,0.0020805076503126506,0.0016589280536856534,1.7997802854378468,0.061399391021250097,0.02000949137670338,8.476897233479223e-05,9,0.0030024376203373,freeze
h_r,mu_eff,0.0038935798928836653,0.0009136907664057873,0.007985631508425652,0.004922113129965736,1.2641613284889648,0.25936125143850636,0.06086326391707959,0.0038615074107119732,8,0.0030024376203373,RETAIN?
h_r,phi,0.00044895310889093125,0.0001451605998769778,0.000838108627817023,0.0005358755924826307,1.193611497214994,0.029905907509944867,0.009669516455144215,0.0003385670463236453,7,0.0030024376203373,freeze
h_p,X,0.010708047986216239,0.007272289263545577,0.014728418101566639,0.005215746966121389,0.4870866261372077,1.0,0.6791423864467842,0.010708047986216239,9,0.002141609597243248,RETAIN
h_p,h,0.00286290145983591,0.0016251821665722358,0.00394675017274733,0.0028788353747607365,1.0055656525899916,0.2673597899001885,0.15177202872682538,-0.0017036116859492942,7,0.002141609597243248,RETAIN?
h_p,w,0.0055409033835965215,0.004161426609422864,0.0075619136314341445,0.0025286343281941295,0.4563577729364465,0.517452236927679,0.388626070295874,-0.0055409033835965215,10,0.002141609597243248,RETAIN
h_p,eps_c,0.0010002863275428283,0.000582101106245956,0.0014679376672140439,0.0012242121710685813,1.2238617457421614,0.09341444200011344,0.05436108495173501,-9.055212961916876e-05,8,0.002141609597243248,freeze
h_p,beta,0.0054210904936222975,0.00366618525224405,0.007130103582548211,0.0022974421269180965,0.4237970440856776,0.5062631863996602,0.34237661775174033,-0.0054210904936222975,8,0.002141609597243248,RETAIN
h_p,K,0.002338922645543263,0.0010624176426626115,0.003708168300849731,0.002537482726989384,1.0848938214457284,0.2184266122596764,0.09921674277423778,0.001685128040106953,9,0.002141609597243248,RETAIN?
h_p,mu_eff,0.006031929607812544,0.00276499463397139,0.009164999550306975,0.006743300305853272,1.1179341842980663,0.5633080478885646,0.25821649637082167,0.003685071626619159,8,0.002141609597243248,RETAIN
h_p,phi,0.0007823089311189396,0.00016788487166190353,0.0016563848202525,0.0009363046127063137,1.1968476588489327,0.07305803374489488,0.015678382453833847,0.0007823089311189396,7,0.002141609597243248,freeze
