id,family,campaign,method,traj,step,moved,sign,status,run_status,file,fine_size_x,mass_scale,target_time_increment,scratch_time,scratch_depth,depth_mode,z_extraction,wallclock,KE_IE_steady_max,KE_IE_overall_max,AE_IE_final,E_ref,ETOTAL_drift,ALLIE_max,ALLPW,KE_final_over_IE_peak,F_n,F_t,SCOF_mean,SCOF_std,h_r,h_p,h_fp,parse_error,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_post_yield_slope_ratio,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00024,glassy_pc,CDP_drucker_prager_unified,morris,2,5,h,-1,OK,OK,Design_00024_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4212.0,0.04564359887782196,0.6921407117783287,2.50421003089461,0.8363832831382751,0.04955416594837739,0.692221999168396,2.827899933673898,0.0003162035664576097,5.30727481842041,1.8229190111160278,0.26145881442012864,0.060660998693871176,0.027281568564675566,0.025730130518601582,0.03544858044295258,,1,0.3333333333,0.3333333333,1,0,1,0,0.3333333333,60,0.15,-0.1166666667,0.2,1,1,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,5,-1,0,0.2,2.5,0.2,1,1,0.15,0.05,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00025,glassy_pc,CDP_drucker_prager_unified,morris,2,6,K,-1,OK,OK,Design_00025_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4750.0,0.04757682083143966,0.6921407117783287,2.745570074694455,0.8529648184776306,0.1176170261086799,0.7070533037185669,3.1052536184411657,0.00031831230029386915,5.388090133666992,1.8781137466430664,0.26518959564598793,0.06120032760266801,0.027561299328562456,0.02624053123552081,0.04029056274626589,,1,0.3333333333,0.3333333333,1,0,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.2,1,0.852,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,5,-1,0,0.2,2.5,0.2,0.852,1,0.15,0.05,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00026,glassy_pc,CDP_drucker_prager_unified,morris,2,7,eps_c,-1,OK,OK,Design_00026_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4740.0,0.05029472839781136,0.6921407117783287,2.723001232016071,0.847638726234436,0.13156978283833126,0.7015190720558167,3.1768523884858313,0.0002411584424833298,5.339173793792725,1.8597079515457153,0.2670290611415297,0.060739196052854355,0.02754618657830251,0.025978882030069057,0.04019762248472962,,1,0.3333333333,0.3333333333,0.3333333333,0,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.1,1,0.852,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,10,-1,0,0.1,2.5,0.1,0.852,1,0.15,0.05,60,0.39,140,0.3166666667,0.01324006986,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00027,glassy_pc,CDP_drucker_prager_unified,morris,2,8,beta,1,OK,OK,Design_00027_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4093.0,0.03277247447912459,0.6921407117783287,2.0247536540062816,0.9393545985221863,0.23241041818226232,0.7929630875587463,2.6015176790502137,0.000401233490427576,6.48765754699707,2.0731732845306396,0.2353163156199595,0.062132550182918966,0.02558841941803575,0.022218441877005633,0.0318862322265456,,1,0.3333333333,0.3333333333,0.3333333333,0.6666666667,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.1,23.66666667,0.852,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,10,-1,0,0.1,2.5,0.1,0.852,23.66666667,0.15,0.05,60,0.39,140,0.3166666667,0.01324006986,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00030,glassy_pc,CDP_drucker_prager_unified,morris,3,2,phi,1,OK,OK,Design_00030_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,6504.0,0.06801305720995118,0.627673895404588,5.981000608182345,1.4073222875595093,0.41146619735758194,1.0016913414001465,3.6549524690874367,0.00041344949644170153,2.545572280883789,2.67577862739563,0.8873079429048393,0.11767356836381031,0.03008322209626156,0.016036560610981396,0.07501053682945415,,1,0.3333333333,0,0,0,0,1,1,60,0.15,-0.35,0.05,1,0.778,0.45,0.95,4405.817639,5196.152423,0,60,0.4275,30,20,-1,0,0.05,2.5,0.05,0.778,1,0.15,0.45,60,0.39,140,0.95,0.07944041916,1.1e-09,50,17.5,3.15,-0.35
00031,glassy_pc,CDP_drucker_prager_unified,morris,3,3,h,1,OK,OK,Design_00031_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4035.0,0.05238611003149956,0.627673895404588,3.030347544121849,2.285578966140747,0.18633737470417766,1.3444790840148926,3.5370662754671636,0.0005870904998949713,5.147854804992676,4.978687763214111,0.8558738201635264,0.0775499842447303,0.026824405793142762,0.01768174657985027,0.06647104731996693,,1,1,0,0,0,0,1,1,60,0.45,-0.35,0.05,1,0.778,0.45,0.95,4405.817639,5196.152423,0,60,0.4275,30,20,-1,0,0.05,2.5,0.05,0.778,1,0.45,0.45,60,0.39,140,0.95,0.07944041916,1.1e-09,50,17.5,3.15,-0.35
00032,glassy_pc,CDP_drucker_prager_unified,morris,3,4,eps_c,1,OK,OK,Design_00032_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4135.0,0.0510767175411545,0.627673895404588,3.0829191540190157,2.4406824111938477,0.16489080649301882,1.4522281885147095,3.474445646189632,0.0005270209690928857,5.54564905166626,5.336951732635498,0.8529098572352446,0.07914588753031009,0.02642847380156127,0.016683404697762225,0.0676976274027119,,1,1,0,0.6666666667,0,0,1,1,60,0.45,-0.35,0.15,1,0.778,0.45,0.95,4405.817639,5196.152423,0,60,0.4275,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,1,0.45,0.45,60,0.39,140,0.95,0.02648013972,1.1e-09,50,17.5,3.15,-0.35
00033,glassy_pc,CDP_drucker_prager_unified,morris,3,5,mu_eff,-1,OK,OK,Design_00033_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,4998.0,0.0472348367717366,0.6170268665264438,2.827234669620201,1.363511562347412,0.31228869709679097,0.9081335067749023,2.549953929737845,0.000193596295843516,6.060344219207764,3.0660057067871094,0.43416916124257865,0.056106725265318506,0.02648057835880475,0.022941695776755228,0.050781613292971664,,1,1,0,0.6666666667,0,0,0.3333333333,1,60,0.45,-0.35,0.15,1,0.778,0.1833333333,0.95,4405.817639,5196.152423,0,60,0.1741666667,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,1,0.45,0.1833333333,60,0.39,140,0.95,0.02648013972,1.1e-09,50,17.5,1.283333333,-0.35
00034,glassy_pc,CDP_drucker_prager_unified,morris,3,6,X,-1,OK,OK,Design_00034_Results.csv,0.01,5000.0,3.62976e-07,0.01,0.04,progressive,2.0,2386.0,0.08441627396730204,1.2808359282616781,1.5021207898076423,0.8580654859542847,0.21494217991865766,0.5230725407600403,2.531024567673547,0.0007349196861657761,4.442347049713135,1.9839431047439575,0.37029907211894736,0.0606237122927947,0.01918222583539426,0.01829601974432606,0.036424870472672795,,0.3333333333,1,0,0.6666666667,0,0,0.3333333333,1,20.51971136,0.45,-0.35,0.15,1,0.778,0.1833333333,0.95,1506.768438,1777.059132,0,20.51971136,0.1741666667,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,1,0.45,0.1833333333,60,0.39,140,0.95,0.07742839825,1.1e-09,50,17.5,1.283333333,-0.35
00035,glassy_pc,CDP_drucker_prager_unified,morris,3,7,w,1,OK,OK,Design_00035_Results.csv,0.01,5000.0,3.62976e-07,0.01,0.04,progressive,2.0,2077.0,0.08441830199406727,1.2808359282616781,0.8149200152051718,0.8787207007408142,0.08653475495688075,0.5079028010368347,1.6542166316646574,0.0011553336657370882,4.95880651473999,2.082540273666382,0.3412751513316536,0.058993349914708386,0.01699249703337735,0.014102825915066092,0.02597874564939154,,0.3333333333,1,0.6666666667,0.6666666667,0,0,0.3333333333,1,20.51971136,0.45,0.1166666667,0.15,1,0.778,0.1833333333,0.95,1506.768438,1777.059132,5.833333333,20.51971136,0.1741666667,30,6.666666667,1,0,0.15,2.5,0.15,0.778,1,0.45,0.1833333333,60,0.39,140,0.95,0.02580946608,1.1e-09,50,0,1.283333333,0.1166666667
