id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],F_fit_mode [-],F_fit_n [samples],F_fit_z [mm],SCOF_mean [-],SCOF_std [-],SCOF_n [samples],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00011,SUSPECT,1,1,X,-1,Design_00011_Results.csv,,1.8794749403341289,1511.0,0.1294031318859214,2.0464172317710205,0.738348236298584,0.22415468096733093,0.14655383192160273,0.1484711915254593,3.758222972424088,0.008148877263640796,3.909641623497009,0.5068558841943741,ramp_fit,20,1.98,0.099233760779309,0.033101987838388865,69,0.019949128634052436,0.0037706855181637057,0.005821179683221277,ALLPW=3.76%>2,1,0.0,12.0,0.0,0.0,0.6666666667,0.1166666667,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
00012,SUSPECT,1,2,w,-1,Design_00012_Results.csv,,1.867541766109785,1540.0,0.1294031318859214,2.0464172317710205,0.9398235231122286,0.2588478624820709,0.19044399667353368,0.19998668134212494,2.2540245052871497,0.001947723478679191,3.2850965738296507,0.5771556743553705,ramp_fit,20,1.98,0.13477866505143463,0.0522154576803196,70,0.025751556878454283,0.009033681016451182,0.017649097151976732,ALLPW=2.25%>2,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
00013,MISSING,1,3,mu_eff,1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.6666666667,0.3166666667,1.0,0.95
00014,SUSPECT,1,4,beta,1,Design_00014_Results.csv,,1.873508353221957,1894.0,0.4932541808068295,1.8923644123479646,1.8351821080058177,0.7671933770179749,1.4141350999648912,0.38183334469795227,3.331928989060915,0.0015120477193386063,3.1625554425375797,1.76378641809736,ramp_fit,20,1.98,0.43834647179947855,0.07636020302419312,69,0.02854761506635871,0.006219245226634149,0.03868573543628428,ETOTAL_drift=1.41%>1; ALLPW=3.33%>2,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,1.0,35.0,0.6666666667,0.926,0.6666666667,0.3166666667,1.0,0.95
00015,SUSPECT,1,5,K,-1,Design_00015_Results.csv,,1.8914081145584725,2169.0,0.5114175957247857,1.8923644123479646,2.6310145980045316,0.7678757905960083,1.8331194720945372,0.3979196846485138,3.869487492953793,0.0017860839192767773,3.2526420116424557,1.7956967438970293,ramp_fit,20,1.98,0.4467077375639677,0.08034964149571856,71,0.029997900831505536,0.005269309884672278,0.046469623545208394,AE_IE_final=2.63%>2; ETOTAL_drift=1.83%>1; ALLPW=3.87%>2,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00016,MISSING,1,6,phi,-1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00017,MISSING,1,7,eps_c,1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.6666666667,0.15,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00018,SUSPECT,1,8,h,1,Design_00018_Results.csv,,1.8973747016706444,1696.0,2.4626274149552376,14.203842052324086,1.4753044113228082,1.026953935623169,0.4377135844265985,0.5234244465827942,2.6210384784683507,0.004533973455290206,3.8085335254669186,2.680926758902413,ramp_fit,20,1.98,0.5468548209466286,0.08280486880273936,69,0.02954656863678766,0.00445393562105161,0.04032578037837046,ALLPW=2.62%>2,1,0.0,12.0,0.6666666667,0.3,0.0,-0.35,0.6666666667,0.15,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00019,SUSPECT,2,0,,0,Design_00019_Results.csv,,1.8914081145584725,1970.0,0.08866986453371219,1.2266211321840728,0.8308273623384299,1.2559207677841187,0.11215418107875456,0.6055105924606323,2.0171475667289043,0.0022308840346406994,5.459212282725743,3.0358536618096488,ramp_fit,20,1.98,0.48292916055832963,0.062060816741782925,70,0.0280385659526573,0.009662965442820349,0.02318466792081112,ALLPW=2.02%>2,1,0.3333333333,20.51971136,1.0,0.45,1.0,0.35,1.0,0.2,0.0,1.0,1.0,1.0,0.6666666667,0.3166666667,1.0,0.95
00020,SUSPECT,2,1,X,1,Design_00020_Results.csv,,1.909307875894988,3605.0,0.03456611601548316,0.6037476684649565,1.4956858043081813,2.1467432975769043,0.17527018473485506,1.1987906694412231,2.0348563109181224,0.0005172603604941534,7.7848778860909595,4.976944177491324,ramp_fit,20,1.98,0.5635898614777474,0.06718816578966276,72,0.03525598894348804,0.016372595490336865,0.03454268204031709,ALLPW=2.03%>2,1,1.0,60.0,1.0,0.45,1.0,0.35,1.0,0.2,0.0,1.0,1.0,1.0,0.6666666667,0.3166666667,1.0,0.95
00021,OK,2,2,phi,-1,Design_00021_Results.csv,,1.8556085918854415,3604.0,0.036162671105605435,0.6303531169769658,1.2814141998378465,2.0290844440460205,0.2283032865526355,1.1503651142120361,1.5725227986356303,0.0005605167067024663,7.849240071432931,4.565192137445722,ramp_fit,20,1.98,0.5481353035409362,0.035926056367772324,72,0.0348550719915774,0.015050515084868238,0.03366099383143986,,1,1.0,60.0,1.0,0.45,1.0,0.35,1.0,0.2,0.0,1.0,1.0,1.0,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00022,OK,2,3,w,-1,Design_00022_Results.csv,,1.909307875894988,3747.0,0.03932543922213532,0.6303531169769658,1.8999385746960866,1.969752550125122,0.38805384853204666,1.110426425933838,1.979438451592709,0.00040063160476056165,6.810146645137239,4.32468672139304,ramp_fit,20,1.98,0.6170778124732575,0.028491148639220636,71,0.035695558317001025,0.01837769564626903,0.04005852315501917,,1,1.0,60.0,1.0,0.45,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,1.0,1.0,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00023,SUSPECT,2,4,mu_eff,-1,Design_00023_Results.csv,,1.9033412887828163,3725.0,0.045359120702051475,0.6921407117783287,1.593684695581717,0.8753781318664551,0.06297276706462193,0.7311297655105591,2.129545350707947,0.00029397734191996067,6.660927554539271,1.9755957058497835,ramp_fit,20,1.98,0.24343331759092846,0.053888012703105906,73,0.03541899931045246,0.019275797264061166,0.030034732472407517,ALLPW=2.13%>2,1,1.0,60.0,1.0,0.45,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,1.0,1.0,0.0,0.05,0.3333333333,0.3166666667
00024,SUSPECT,2,5,h,-1,Design_00024_Results.csv,,1.909307875894988,4212.0,0.04564359887782196,0.6921407117783287,2.50421003089461,0.8363832831382751,0.04955416594837739,0.692221999168396,2.827899933673898,0.0003162035664576097,5.928336272920881,1.865300435679299,ramp_fit,20,1.98,0.2500197879613448,0.060327456418244226,73,0.036104816422392494,0.02125821782892904,0.03544858044295258,AE_IE_final=2.5%>2; ALLPW=2.83%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,1.0,1.0,0.0,0.05,0.3333333333,0.3166666667
00025,SUSPECT,2,6,K,-1,Design_00025_Results.csv,,1.9033412887828163,4750.0,0.04757682083143966,0.6921407117783287,2.745570074694455,0.8529648184776306,0.1176170261086799,0.7070533037185669,3.1052536184411657,0.00031831230029386915,6.078301307133264,1.9396580696105954,ramp_fit,20,1.98,0.2546863956381666,0.06107370497294246,74,0.03602444407719937,0.020805819610923818,0.04029056274626589,AE_IE_final=2.75%>2; ALLPW=3.11%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,1.0,0.2,0.0,1.0,0.3333333333,0.852,0.0,0.05,0.3333333333,0.3166666667
00026,SUSPECT,2,7,eps_c,-1,Design_00026_Results.csv,,1.8973747016706444,4740.0,0.05029472839781136,0.6921407117783287,2.723001232016071,0.847638726234436,0.13156978283833126,0.7015190720558167,3.1768523884858313,0.0002411584424833298,5.985037374496459,1.9113419686044963,ramp_fit,20,1.98,0.2567061225771241,0.06076434958001327,74,0.036202921536916705,0.021046725535490723,0.04019762248472962,AE_IE_final=2.72%>2; ALLPW=3.18%>2,1,1.0,60.0,0.3333333333,0.15,0.3333333333,-0.1166666667,0.3333333333,0.1,0.0,1.0,0.3333333333,0.852,0.0,0.05,0.3333333333,0.3166666667
