file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0.495227,6.19033,0.649943,0.23665,0.364101,75.6672,75.6182,-1.69443,0.226272,0.226272,0.226272,85.0174,10.5303,0.123861,0.766262,1
Design_00001_Results.csv,0.501193,6.26492,0.661588,0.241074,0.364381,76.074,75.8991,-1.74766,0.235468,0.235468,0.235468,87.9041,11.2943,0.128484,0.765855,1
Design_00001_Results.csv,0.50716,6.3395,0.67331,0.24569,0.364877,76.4102,76.284,-1.78425,0.240155,0.240155,0.240155,90.9391,11.995,0.131901,0.764774,1
Design_00001_Results.csv,0.513126,6.41408,0.685032,0.250307,0.365373,76.9847,76.7154,-1.84231,0.239437,0.239437,0.239437,94.1005,12.5566,0.133438,0.766104,1
Design_00001_Results.csv,0.519093,6.48866,0.696755,0.254924,0.36587,77.3928,77.1936,-1.89043,0.243809,0.243809,0.243809,97.0949,13.4097,0.138109,0.765798,1
Design_00001_Results.csv,0.52506,6.56325,0.707813,0.259305,0.366331,77.9868,77.653,-1.94425,0.260077,0.260077,0.260077,100.356,14.0889,0.140389,0.767351,1
Design_00001_Results.csv,0.531026,6.63783,0.718752,0.263643,0.366787,78.2479,78.1068,-1.99448,0.283314,0.283314,0.283314,103.676,14.8992,0.143709,0.765655,1
Design_00001_Results.csv,0.536993,6.71241,0.729692,0.267981,0.367243,78.7999,78.6462,-2.05154,0.307788,0.307788,0.307788,107.161,15.7792,0.147248,0.766834,1
Design_00001_Results.csv,0.542959,6.78699,0.74084,0.272459,0.367758,79.5502,79.1505,-2.11469,0.331732,0.331732,0.331732,110.948,16.5675,0.149327,0.769943,1
Design_00001_Results.csv,0.548926,6.86158,0.752201,0.277079,0.368334,80.0041,79.6439,-2.17203,0.356417,0.356417,0.356417,114.587,17.4045,0.151889,0.770189,1
Design_00001_Results.csv,0.554893,6.93616,0.763562,0.281699,0.368909,80.2215,80.0906,-2.23585,0.384419,0.384419,0.384419,118.532,18.5717,0.156681,0.768192,1
Design_00001_Results.csv,0.560859,7.01074,0.774927,0.286283,0.36943,80.5866,80.4904,-2.30538,0.417607,0.417607,0.417607,122.968,19.6938,0.160154,0.767645,1
Design_00001_Results.csv,0.566826,7.08532,0.78632,0.290652,0.369629,81.1495,80.8729,-2.37327,0.443727,0.443727,0.443727,127.231,20.7184,0.16284,0.769001,1
Design_00001_Results.csv,0.572792,7.1599,0.797712,0.295022,0.369828,81.5339,81.3256,-2.45276,0.463222,0.463222,0.463222,130.817,21.8001,0.166646,0.768682,1
Design_00001_Results.csv,0.578759,7.23449,0.809105,0.299391,0.370026,82.0326,81.808,-2.50851,0.492368,0.492368,0.492368,135.157,23.0053,0.170212,0.76946,1
Design_00001_Results.csv,0.584726,7.30907,0.820666,0.303926,0.370331,82.5159,82.2522,-2.52602,0.520662,0.520662,0.520662,139.424,24.1291,0.173062,0.770107,1
Design_00001_Results.csv,0.590692,7.38365,0.83227,0.308504,0.370665,82.9265,82.7583,-2.55208,0.538439,0.538439,0.538439,141.873,25.2829,0.178208,0.770094,1
Design_00001_Results.csv,0.596659,7.45823,0.843874,0.313082,0.370998,83.5582,83.1933,-2.59786,0.551275,0.551275,0.551275,145.26,26.2212,0.180512,0.772144,1
Design_00001_Results.csv,0.602625,7.53282,0.855565,0.318011,0.371677,83.7728,83.6319,-2.63199,0.549541,0.549541,0.549541,149.272,27.0517,0.181224,0.770358,1
Design_00001_Results.csv,0.608592,7.6074,0.867367,0.323387,0.372795,84.2703,84.1133,-2.69275,0.556364,0.556364,0.556364,152.661,28.1564,0.184438,0.771198,1
Design_00001_Results.csv,0.614558,7.68198,0.879168,0.328762,0.373914,84.8518,84.5432,-2.74445,0.560573,0.560573,0.560573,156.067,29.1541,0.186806,0.772814,1
Design_00001_Results.csv,0.620525,7.75656,0.891021,0.334135,0.375,85.2781,85.0496,-2.78838,0.570011,0.570011,0.570011,159.287,30.3252,0.190381,0.773027,1
Design_00001_Results.csv,0.626492,7.83115,0.903414,0.339478,0.375747,85.7984,85.5641,-2.8476,0.571552,0.571552,0.571552,163.341,31.1564,0.190745,0.774105,1
Design_00001_Results.csv,0.632458,7.90573,0.915806,0.34482,0.376495,86.3282,86.0734,-2.9454,0.559875,0.559875,0.559875,169.39,31.8314,0.187918,0.775276,1
Design_00001_Results.csv,0.638425,7.98031,0.928198,0.350163,0.377242,86.889,86.5598,-3.00146,0.584383,0.584383,0.584383,173.788,33.0952,0.190435,0.776732,1
Design_00001_Results.csv,0.644391,8.05489,0.940207,0.355776,0.378371,87.2238,87.0993,-3.08345,0.57238,0.57238,0.57238,178.593,33.8991,0.189811,0.77618,1
Design_00001_Results.csv,0.650358,8.12947,0.952078,0.361485,0.379636,87.9561,87.5889,-3.16904,0.561222,0.561222,0.561222,185.507,34.6999,0.187054,0.779172,1
Design_00001_Results.csv,0.656325,8.20406,0.963949,0.367194,0.380901,88.2868,88.0214,-3.21446,0.581077,0.581077,0.581077,189.953,35.8102,0.188522,0.778613,1
Design_00001_Results.csv,0.662291,8.27864,0.975778,0.372708,0.38195,88.6187,88.4984,-3.25905,0.604867,0.604867,0.604867,193.227,36.9344,0.191145,0.778085,1
Design_00001_Results.csv,0.668258,8.35322,0.987541,0.377908,0.382654,89.1322,88.912,-3.3647,0.626987,0.626987,0.626987,198.64,37.8179,0.190384,0.779167,1
Design_00001_Results.csv,0.674224,8.4278,0.999303,0.383109,0.383357,89.6104,89.3324,-3.4061,0.655947,0.655947,0.655947,202.9,38.5578,0.190034,0.779947,1
Design_00001_Results.csv,0.680191,8.50239,1.01111,0.388323,0.384055,89.9682,89.758,-3.43854,0.684302,0.684302,0.684302,206.397,39.6357,0.192036,0.779694,1
Design_00001_Results.csv,0.686158,8.57697,1.0243,0.393981,0.384617,90.3214,90.1579,-3.5005,0.719923,0.719923,0.719923,211.326,40.8888,0.193486,0.779418,1
Design_00001_Results.csv,0.692124,8.65155,1.03749,0.399638,0.385178,90.7316,90.57,-3.54139,0.750136,0.750136,0.750136,215.571,42.1474,0.195515,0.77965,1
Design_00001_Results.csv,0.698091,8.72613,1.05068,0.405295,0.38574,91.2588,91.0238,-3.5917,0.787664,0.787664,0.787664,219.414,43.3396,0.197524,0.780896,1
Design_00001_Results.csv,0.704057,8.80072,1.06283,0.410609,0.386324,91.7833,91.5148,-3.65088,0.828063,0.828063,0.828063,223.958,44.6227,0.199246,0.782124,1
Design_00001_Results.csv,0.710024,8.8753,1.07449,0.41576,0.38692,92.2854,92.0405,-3.67411,0.865219,0.865219,0.865219,229.653,45.8818,0.199787,0.783166,1
Design_00001_Results.csv,0.71599,8.94988,1.08615,0.420912,0.387515,92.8344,92.5834,-3.7315,0.897797,0.897797,0.897797,235.395,46.9717,0.199544,0.784611,1
Design_00001_Results.csv,0.721957,9.02446,1.09766,0.425944,0.388043,93.4304,93.1113,-3.82666,0.933282,0.933282,0.933282,240.073,48.1461,0.200548,0.786453,1
Design_00001_Results.csv,0.727924,9.09905,1.10886,0.430731,0.388435,93.8948,93.6375,-3.94359,0.956902,0.956902,0.956902,246.248,49.4659,0.200879,0.787191,1
Design_00001_Results.csv,0.73389,9.17363,1.12005,0.435517,0.388827,94.3903,94.1783,-3.99688,0.961071,0.961071,0.961071,251.02,50.2521,0.200192,0.788197,1
Design_00001_Results.csv,0.739857,9.24821,1.13125,0.440304,0.389219,94.9978,94.6888,-4.04574,0.95605,0.95605,0.95605,255.946,50.8435,0.198649,0.79014,1
Design_00001_Results.csv,0.745823,9.32279,1.14362,0.445584,0.389617,95.4724,95.1201,-4.11826,0.953966,0.953966,0.953966,260.919,51.4222,0.197081,0.79098,1
Design_00001_Results.csv,0.75179,9.39737,1.15601,0.450877,0.390016,95.62,95.5629,-4.22436,0.961909,0.961909,0.961909,267.228,52.605,0.196855,0.789129,1
Design_00001_Results.csv,0.757757,9.47196,1.16841,0.456169,0.390414,96.1613,95.9645,-4.28965,0.964069,0.964069,0.964069,274.604,53.2948,0.194078,0.790541,1
Design_00001_Results.csv,0.763723,9.54654,1.18099,0.461829,0.39104,96.6045,96.3923,-4.3725,0.951776,0.951776,0.951776,279.192,54.1441,0.193931,0.791152,1
Design_00001_Results.csv,0.76969,9.62112,1.19367,0.467709,0.391802,97.1833,96.916,-4.49368,0.932748,0.932748,0.932748,284.823,54.6984,0.192043,0.792877,1
Design_00001_Results.csv,0.775656,9.6957,1.20635,0.47359,0.392564,97.715,97.5489,-4.54527,0.942311,0.942311,0.942311,289.492,55.9079,0.193124,0.794218,1
Design_00001_Results.csv,0.781623,9.77029,1.21895,0.47945,0.393325,98.6927,98.3425,-4.54416,0.935694,0.935694,0.935694,295.029,56.643,0.191992,0.799173,1
