file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0.292363,2.92363,0.299581,0.0956409,0.319357,,,-0.071238,0.00961799,0.00961799,0.00961799,,,,,0
Design_00001_Results.csv,0.298329,2.98329,0.309407,0.098417,0.318117,,,-0.0724475,0.0104925,0.0104925,0.0104925,,,,,0
Design_00001_Results.csv,0.304296,3.04296,0.319712,0.101346,0.317053,,,-0.0760899,0.011677,0.011677,0.011677,,,,,0
Design_00001_Results.csv,0.310263,3.10263,0.330204,0.104334,0.316058,,,-0.0837117,0.0128126,0.0128126,0.0128126,,,,,0
Design_00001_Results.csv,0.316229,3.16229,0.340696,0.107323,0.315063,,,-0.0901146,0.0127415,0.0127415,0.0127415,,,,,0
Design_00001_Results.csv,0.322196,3.22196,0.351153,0.110268,0.31405,,,-0.0952629,0.0138491,0.0138491,0.0138491,,,,,0
Design_00001_Results.csv,0.328162,3.28162,0.361551,0.113138,0.313005,,,-0.10164,0.015072,0.015072,0.015072,,,,,0
Design_00001_Results.csv,0.334129,3.34129,0.371949,0.116008,0.31196,,,-0.109838,0.0152211,0.0152211,0.0152211,,,,,0
Design_00001_Results.csv,0.340095,3.40095,0.382356,0.118881,0.310918,,,-0.118692,0.0156568,0.0156568,0.0156568,,,,,0
Design_00001_Results.csv,0.346062,3.46062,0.393341,0.121942,0.310072,,,-0.126667,0.0165124,0.0165124,0.0165124,,,,,0
Design_00001_Results.csv,0.352029,3.52029,0.404326,0.125003,0.309225,,,-0.135154,0.0171651,0.0171651,0.0171651,,,,,0
Design_00001_Results.csv,0.357995,3.57995,0.41531,0.128064,0.308379,,,-0.144315,0.017306,0.017306,0.017306,,,,,0
Design_00001_Results.csv,0.363962,3.63962,0.426525,0.131142,0.307507,,,-0.15738,0.0176038,0.0176038,0.0176038,,,,,0
Design_00001_Results.csv,0.369928,3.69928,0.437855,0.134228,0.306622,,,-0.165126,0.0179619,0.0179619,0.0179619,,,,,0
Design_00001_Results.csv,0.375895,3.75895,0.449186,0.137315,0.305738,,,-0.176704,0.0179517,0.0179517,0.0179517,,,,,0
Design_00001_Results.csv,0.381862,3.81862,0.460513,0.14032,0.304734,,63.8711,-0.194618,0.0179449,0.0179449,0.0179449,,,,,0
Design_00001_Results.csv,0.387828,3.87828,0.471832,0.143147,0.303466,63.8711,63.8312,-0.212411,0.0179339,0.0179339,0.0179339,17.5489,0,0,0.81478,1
Design_00001_Results.csv,0.393795,3.93795,0.48315,0.145973,0.302199,63.7914,63.9118,-0.220169,0.0176482,0.0176482,0.0176482,17.7683,0,0,0.807636,1
Design_00001_Results.csv,0.399761,3.99761,0.494469,0.148799,0.300932,64.0728,63.8054,-0.238239,0.0176647,0.0176647,0.0176647,18.1486,0,0,0.805183,1
Design_00001_Results.csv,0.405728,4.05728,0.505485,0.151323,0.299437,63.4862,63.6067,-0.255048,0.0176507,0.0176507,0.0176507,18.6782,0,0,0.791983,1
Design_00001_Results.csv,0.411695,4.11695,0.516489,0.153834,0.297933,63.0765,63.2202,-0.267203,0.0183563,0.0183563,0.0183563,19.0502,0,0,0.781207,1
Design_00001_Results.csv,0.417661,4.17661,0.527493,0.156345,0.296429,62.2451,62.6507,-0.283388,0.0201297,0.0201297,0.0201297,19.2134,0,0,0.765442,1
Design_00001_Results.csv,0.423628,4.23628,0.539053,0.159297,0.295532,61.7951,62.1175,-0.30282,0.0218865,0.0218865,0.0218865,19.4404,0,0,0.754596,1
Design_00001_Results.csv,0.429594,4.29594,0.550972,0.162534,0.295025,61.3533,61.7383,-0.32133,0.0236349,0.0236349,0.0236349,19.9594,0,0,0.744035,1
Design_00001_Results.csv,0.435561,4.35561,0.562891,0.16577,0.294519,61.5598,61.6258,-0.346419,0.0261196,0.0261196,0.0261196,20.6018,0,0,0.741464,1
Design_00001_Results.csv,0.441527,4.41527,0.574859,0.169059,0.294091,61.7949,61.4866,-0.36016,0.0281505,0.0281505,0.0281505,21.6848,0,0,0.739305,1
Design_00001_Results.csv,0.447494,4.47494,0.58697,0.172501,0.293894,61.2384,61.4761,-0.382657,0.0297497,0.0297497,0.0297497,21.529,0.0775229,0.00360085,0.727802,1
Design_00001_Results.csv,0.453461,4.53461,0.59908,0.175942,0.293697,61.3114,61.3244,-0.405579,0.0325625,0.0325625,0.0325625,22.0764,0.143084,0.00648132,0.723914,1
Design_00001_Results.csv,0.459427,4.59427,0.61119,0.179384,0.2935,60.9528,61.0852,-0.42926,0.0345568,0.0345568,0.0345568,22.7301,0.206515,0.00908556,0.715046,1
Design_00001_Results.csv,0.465394,4.65394,0.62357,0.182796,0.29316,60.8382,60.7203,-0.45159,0.0368319,0.0368319,0.0368319,23.2521,0.346918,0.0149198,0.709166,1
Design_00001_Results.csv,0.47136,4.7136,0.635978,0.186206,0.292806,59.7788,60.4228,-0.469897,0.0403487,0.0403487,0.0403487,23.8532,0.484848,0.0203263,0.692444,1
Design_00001_Results.csv,0.477327,4.77327,0.648386,0.189616,0.292451,60.1212,60.4018,-0.494594,0.0436802,0.0436802,0.0436802,24.5185,0.654442,0.0266918,0.692096,1
Design_00001_Results.csv,0.483294,4.83294,0.660321,0.193248,0.29264,60.8691,60.3905,-0.526487,0.0452965,0.0452965,0.0452965,25.7923,0.752483,0.0291747,0.696419,1
Design_00001_Results.csv,0.48926,4.8926,0.671873,0.197061,0.293271,60.7928,60.6461,-0.542282,0.0490334,0.0490334,0.0490334,26.3772,1.02857,0.0389947,0.691344,1
Design_00001_Results.csv,0.495227,4.95227,0.683425,0.200874,0.293901,60.8013,60.9821,-0.559163,0.0523972,0.0523972,0.0523972,26.725,1.31709,0.0492831,0.687315,1
Design_00001_Results.csv,0.501193,5.01193,0.694744,0.204545,0.294418,61.4652,61.1184,-0.581927,0.056232,0.056232,0.056232,27.162,1.60206,0.0589815,0.690724,1
Design_00001_Results.csv,0.50716,5.0716,0.70513,0.207648,0.294479,61.4143,61.1894,-0.60102,0.0593957,0.0593957,0.0593957,27.7092,1.83865,0.066355,0.686133,1
Design_00001_Results.csv,0.513126,5.13126,0.715515,0.21075,0.294541,61.0766,62.0895,-0.604875,0.0628058,0.0628058,0.0628058,27.9098,2.16385,0.0775303,0.678432,1
Design_00001_Results.csv,0.519093,5.19093,0.725901,0.213852,0.294602,64.4019,62.1433,-0.622949,0.0669815,0.0669815,0.0669815,28.6749,2.51733,0.0877887,0.7113,1
Design_00001_Results.csv,0.52506,5.2506,0.73784,0.217249,0.294446,61.6804,61.9006,-0.62301,0.0704889,0.0704889,0.0704889,27.7559,2.79691,0.100768,0.677411,1
Design_00001_Results.csv,0.531026,5.31026,0.750057,0.220699,0.294251,60.4437,61.6788,-0.619692,0.0746789,0.0746789,0.0746789,27.2687,3.33583,0.122332,0.660138,1
Design_00001_Results.csv,0.536993,5.36993,0.762275,0.224148,0.294056,60.1891,60.8204,-0.643417,0.0798747,0.0798747,0.0798747,27.7213,3.79988,0.137074,0.653745,1
Design_00001_Results.csv,0.542959,5.42959,0.774888,0.227694,0.293846,60.9686,60.9055,-0.67335,0.0830078,0.0830078,0.0830078,28.7202,4.16858,0.145145,0.658613,1
Design_00001_Results.csv,0.548926,5.48926,0.787902,0.231336,0.29362,62.0206,61.4296,-0.692733,0.0874568,0.0874568,0.0874568,30.0589,4.52618,0.150577,0.666376,1
Design_00001_Results.csv,0.554893,5.54893,0.800917,0.234978,0.293394,62.54,62.1094,-0.72795,0.0925925,0.0925925,0.0925925,31.2382,5.06626,0.162182,0.668385,1
Design_00001_Results.csv,0.560859,5.60859,0.813828,0.238605,0.293189,62.9085,62.5671,-0.733992,0.0967335,0.0967335,0.0967335,31.8326,5.56601,0.174852,0.668789,1
Design_00001_Results.csv,0.566826,5.66826,0.826128,0.24214,0.293106,62.7992,62.7825,-0.743771,0.103575,0.103575,0.103575,32.8941,6.28439,0.191049,0.664154,1
