id,family,campaign,method,traj,step,moved,sign,status,file,fine_size_x,mass_scale,force_source,n_window,Fn_half_N,Fn_cv_pct,Ft_half_N,scof,contact_radius_mm,H_MPa,residual_depth_mm,residual_rel_pct,pile_up_mm,pile_up_max_mm,pile_up_ratio,profile_method,profile_n_fail_flags,profile_n_warn_flags,AE_over_IE_pct,KE_over_IE_pct,PW_over_IE_pct,MW_over_IE_pct,ETOTAL_drift_pct,wallclock_s,family_resolved,q_quasi_static,q_hourglass,q_energy_total,q_artificial_energy,q_force_magnitude,q_strain_level,q_friction_physics,q_steady_state,q_settling,q_recovery,parse_error,u_X,u_h,u_q,u_s,u_eps_soft,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_q,g_s,g_eps_soft,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0
00024,glassy_pc,CDP_drucker_prager_unified,morris,2,3,beta,1,WARN,Design_00024_Results.csv,0.01,20000.0,RF2,11,1.0466962510889226,3.2013785875958503,0.03161574730818922,0.030205274238154584,0.12287187078897964,88.27258523507764,0.0006380124250426888,1.5950310626067221,9.025719919009134e-05,nan,0.14146620919498912,at_final_position,0,0,0.9068970264674548,0.18330996565722363,14.83978337145012,0.0,121.24284611905733,722.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,1,0,0.3333333333,0.6666666667,0.6666666667,0,0,5,0,0.35,0,0.05333333333,23.66666667,0.926,0.05,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.05333333333,0.926,23.66666667,0,0.05,60,0.39,140,0,1.1e-09,50,0,7
00025,glassy_pc,CDP_drucker_prager_unified,morris,2,4,K,-1,WARN,Design_00025_Results.csv,0.01,20000.0,RF2,11,1.0466140671209856,3.197210898775469,0.03161423331634565,0.03020619950514303,0.12287187078897964,88.26565429278456,0.0006357982638292015,1.5894956595730036,8.799736679065973e-05,nan,0.13840454086911289,at_final_position,0,0,0.9064911111251548,0.18335194192760138,14.858884908108832,0.0,121.22727548187946,711.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,1,0,0.3333333333,0.6666666667,0,0,0,5,0,0.35,0,0.05333333333,23.66666667,0.778,0.05,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.05333333333,0.778,23.66666667,0,0.05,60,0.39,140,0,1.1e-09,50,0,7
00026,glassy_pc,CDP_drucker_prager_unified,morris,2,5,mu_eff,1,FAIL,Design_00026_Results.csv,0.01,20000.0,RF2,11,1.0219985246658325,3.17959316941257,0.499680678952824,0.488925049198292,0.12287187078897964,86.1897152921245,0.00021545973140746355,0.5386493285186589,0.0018099088920280337,nan,8.400218826065696,at_final_position,0,0,2.89938720402421,0.1153961253778604,58.93915290717241,0.0,33.856608809468746,796.0,1,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0,1,0,0.3333333333,0.6666666667,0,0.6666666667,0,5,0,0.35,0,0.05333333333,23.66666667,0.778,0.3166666667,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.05333333333,0.778,23.66666667,0,0.3166666667,60,0.39,140,0,1.1e-09,50,0,44.33333333
00027,glassy_pc,CDP_drucker_prager_unified,morris,2,6,eps_soft,1,FAIL,Design_00027_Results.csv,0.01,20000.0,RF2,11,1.0219985246658325,3.17959316941257,0.499680678952824,0.488925049198292,0.12287187078897964,86.1897152921245,0.00021545973140746355,0.5386493285186589,0.0018099088920280337,nan,8.400218826065696,at_final_position,0,0,2.89938720402421,0.1153961253778604,58.93915290717241,0.0,33.856608809468746,793.0,1,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0,1,0,1,0.6666666667,0,0.6666666667,0,5,0,0.35,0,0.12,23.66666667,0.778,0.3166666667,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.12,0.778,23.66666667,0,0.3166666667,60,0.39,140,0,1.1e-09,50,0,44.33333333
00028,glassy_pc,CDP_drucker_prager_unified,morris,2,7,q,-1,FAIL,Design_00028_Results.csv,0.01,20000.0,RF2,11,1.016782820224762,3.324489419376316,0.5807344209064137,0.5711489310746233,0.12287187078897964,85.74985156436547,5.588293424807489e-05,0.13970733562018722,0.02294456958770752,nan,410.5827637083666,at_final_position,0,0,3.9563886447760814,0.05580034866453384,14.093285977529964,0.0,9.403668573957797,1976.0,1,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0,0.3333333333,0,1,0.6666666667,0,0.6666666667,0,5,0,0.1166666667,0,0.12,23.66666667,0.778,0.3166666667,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.12,0.778,23.66666667,0,0.3166666667,60,0.39,140,0,1.1e-09,50,0,44.33333333
00030,glassy_pc,CDP_drucker_prager_unified,morris,2,9,h,1,FAIL,Design_00030_Results.csv,0.01,20000.0,RF2,11,1.049580617384477,3.25264826693781,0.6317004507238214,0.6018598669419026,0.12287187078897964,88.51583676999871,0.0002520283742342144,0.6300709355855361,0.007829261012375355,nan,31.06499828110419,at_final_position,0,0,2.246232519897166,0.0662261784334562,16.442757797472638,0.0,10.614975063817544,977.0,1,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,0.3333333333,0.6666666667,1,0.6666666667,0,0.6666666667,0,5,0.3,0.1166666667,0.2333333333,0.12,23.66666667,0.778,0.3166666667,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.12,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,0,1.1e-09,50,11.66666667,44.33333333
00031,glassy_pc,CDP_drucker_prager_unified,morris,3,0,,0,WARN,Design_00031_Results.csv,0.01,20000.0,RF2,11,2.9484374739907007,2.9328258464065495,2.027303793213584,0.6875858182841622,0.12287187078897964,248.65494450980898,0.026384253054857254,65.96063263714314,0.02495538257062435,nan,0.9458438152006031,at_final_position,0,0,2.2418051365607132,0.016971706864080803,4.477326067547285,0.0,1.7659023314049271,6521.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,1,0.3333333333,0.6666666667,0,1,0.6666666667,1,60,0.15,0.35,0.1166666667,0.08666666667,1,1,0.3166666667,1,4405.817639,5196.152423,17.5,60,0.3166666667,30,8,0,2.5,0.08666666667,1,1,0.15,0.3166666667,60,0.39,140,1,1.1e-09,50,5.833333333,0
00032,glassy_pc,CDP_drucker_prager_unified,morris,3,1,beta,1,WARN,Design_00032_Results.csv,0.01,20000.0,RF2,11,3.306894974275069,3.391233656346372,2.318877198479392,0.7012249304917015,0.12287187078897964,278.8852718030292,0.02096155472099781,52.403886802494526,0.02346385084092617,nan,1.119375502114914,at_final_position,0,0,1.9629149108832966,0.013649642795672715,3.819141739540825,0.0,1.5577306623469027,4308.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,PASS,,1,0.3333333333,1,0.3333333333,0.6666666667,0.6666666667,1,0.6666666667,1,60,0.15,0.35,0.1166666667,0.08666666667,23.66666667,1,0.3166666667,1,4405.817639,5196.152423,17.5,60,0.3166666667,30,8,0,2.5,0.08666666667,1,23.66666667,0.15,0.3166666667,60,0.39,140,1,1.1e-09,50,5.833333333,0
00033,glassy_pc,CDP_drucker_prager_unified,morris,3,2,eps_soft,-1,WARN,Design_00033_Results.csv,0.01,20000.0,RF2,11,3.270585601980036,3.480402287788805,2.2913372733376245,0.7005892987330563,0.12287187078897964,275.823139730414,0.021654272451996803,54.13568112999201,0.023130416870117188,nan,1.0681687376656364,at_final_position,0,0,1.9177498618041424,0.013592086830306894,3.8355255266870105,0.0,1.5664264137479673,3817.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,1,0.3333333333,0,0.6666666667,1,0.6666666667,1,60,0.15,0.35,0.1166666667,0.02,23.66666667,1,0.3166666667,1,4405.817639,5196.152423,17.5,60,0.3166666667,30,8,0,2.5,0.02,1,23.66666667,0.15,0.3166666667,60,0.39,140,1,1.1e-09,50,5.833333333,0
00034,glassy_pc,CDP_drucker_prager_unified,morris,3,3,mu_eff,-1,WARN,Design_00034_Results.csv,0.01,20000.0,RF2,11,3.877208709716797,2.4921356581745266,1.1860326636921277,0.3058985864546763,0.12287187078897964,326.9823847621531,0.019487712532281876,48.71928133070469,0.0197667945176363,nan,1.0143209206771764,at_final_position,0,0,1.12073314448293,0.0083698874353439,2.1273675681531614,0.0,2.359896732466721,2793.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,1,0.3333333333,0,0.6666666667,1,0,1,60,0.15,0.35,0.1166666667,0.02,23.66666667,1,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,8,0,2.5,0.02,1,23.66666667,0.15,0.05,60,0.39,140,1,1.1e-09,50,5.833333333,0
