id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],F_fit_mode [-],F_fit_n [samples],F_fit_z [mm],SCOF_mean [-],SCOF_std [-],SCOF_n [samples],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00011,SUSPECT,1,1,X,-1,Design_00011_Results.csv,,1.9570405727923628,1502.0,0.1339966370143499,1.9351691995399094,0.7320334571683809,0.23787438869476318,8.29828084066726,0.1465708464384079,3.5754856553834125,0.011523143832390786,3.8489159144364375,0.6770901548398002,ramp_fit,21,2.0,0.09979739594260699,0.03339960214849971,73,0.01972003312421961,0.0038156823465151546,0.005308703565434491,ETOTAL_drift=8.3%>1; ALLPW=3.58%>2,1,0.0,12.0,0.0,0.0,0.6666666667,0.1166666667,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
00012,SUSPECT,1,2,w,-1,Design_00012_Results.csv,,1.9630071599045344,1513.0,0.1339966370143499,1.9351691995399094,0.930397567297578,0.27321961522102356,7.1620553593139045,0.19846603274345398,2.049509753178786,0.005077305828917358,3.2562078779393966,0.7508453201679951,ramp_fit,21,2.0,0.13573181926268554,0.05246963044260447,74,0.025272269096934925,0.009741652608070412,0.014877455771526748,ETOTAL_drift=7.16%>1; ALLPW=2.05%>2,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
00013,MISSING,1,3,mu_eff,1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.6666666667,0.3166666667,1.0,0.95
00014,SUSPECT,1,4,beta,1,Design_00014_Results.csv,,1.9689737470167064,1722.0,0.4693115680244749,1.7458335608604232,1.731308750747778,0.7598996758460999,3.857172073717776,0.3694014251232147,3.1602108471087265,0.0064275052434910026,3.165504579420212,1.9050938623808154,ramp_fit,21,2.0,0.43839322852939033,0.07633338671089596,72,0.028726685469480352,0.006854691585187958,0.03142030420728936,ETOTAL_drift=3.86%>1; ALLPW=3.16%>2,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,1.0,35.0,0.6666666667,0.926,0.6666666667,0.3166666667,1.0,0.95
00015,SUSPECT,1,5,K,-1,Design_00015_Results.csv,,1.9570405727923628,2293.0,0.4926356468507974,1.7458335608604232,2.5601963609691794,0.7610335946083069,4.495259520364348,0.3810029625892639,4.157183178291082,0.0070648469141805096,3.1941512291565584,1.9023127726146143,ramp_fit,21,2.0,0.44705375558530835,0.08108700145184901,74,0.027820525494950805,0.004906397876481304,0.03880239581439907,AE_IE_final=2.56%>2; ETOTAL_drift=4.5%>1; ALLPW=4.16%>2,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00016,MISSING,1,6,phi,-1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.0,0.05,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00017,MISSING,1,7,eps_c,1,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.0,0.0,0.0,-0.35,0.6666666667,0.15,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00018,SUSPECT,1,8,h,1,Design_00018_Results.csv,,1.945107398568019,1626.0,2.9461719105772417,15.928331056194999,1.4415076731464127,0.994681179523468,2.3607288879418666,0.4995396137237549,2.397171540703456,0.008423019122016992,3.726160155746326,2.7967661097968284,ramp_fit,21,2.0,0.5441763092037321,0.08008586833791234,72,0.0283792502511721,0.003919271636924095,0.03327702356291313,ETOTAL_drift=2.36%>1; ALLPW=2.4%>2,1,0.0,12.0,0.6666666667,0.3,0.0,-0.35,0.6666666667,0.15,1.0,35.0,0.0,0.778,0.6666666667,0.3166666667,0.3333333333,0.3166666667
00019,SUSPECT,2,0,,0,Design_00019_Results.csv,,1.909307875894988,2467.0,0.09631472312367163,1.2045695817152615,0.8192082038514067,1.2358269691467285,1.739841222717893,0.5986422896385193,1.9059906159700306,0.004742576501076256,5.379242640037038,3.143555786702538,ramp_fit,21,2.0,0.4838798001573118,0.061963997140661246,74,0.026886806798345375,0.008839680645937119,0.02021164016813464,ETOTAL_drift=1.74%>1,1,0.3333333333,20.51971136,1.0,0.45,1.0,0.35,1.0,0.2,0.0,1.0,1.0,1.0,0.6666666667,0.3166666667,1.0,0.95
00020,SUSPECT,2,1,X,1,Design_00020_Results.csv,,1.9510739856801909,3110.0,0.03021795796678718,0.5728439545858136,1.480144648804222,2.1046946048736572,1.1289105063856175,1.1821905374526978,2.0040642318652964,0.002122257711796691,7.671906204966753,5.043335647294012,ramp_fit,21,2.0,0.5651393653546685,0.06672456446219217,76,0.03493034994013072,0.015399964343699613,0.030764385878279694,ETOTAL_drift=1.13%>1; ALLPW=2%>2,1,1.0,60.0,1.0,0.45,1.0,0.35,1.0,0.2,0.0,1.0,1.0,1.0,0.6666666667,0.3166666667,1.0,0.95
