# Simulated using Abaqus — Aarhus University
# Made by Peter Thorhauge Moellmann(ft. Jacques Nithart)
# Simulation date and time: 2026-06-16 14:18:59
# ----------------------------
# Indenter type: rockwell with tip radius 0.2mm and cone angle 60 degrees
# Material parameters: rho=1.2e-09, C10=1.0, C01=0.1, D1=0.018, mu_friction=0.3
# WallclockTime=902.00 s
Time,RF1,RF2,RF3,ALLKE,ALLIE,ALLAE,WM_ALLKE,WM_ALLIE,WM_ALLVD,WM_ALLFD,WM_ALLWK,WM_ALLPW,WM_ALLCW,WM_ALLMW,ETOTAL,NodeLabel,x_undeformed,y_undeformed,z_undeformed,x_deformed,y_deformed,z_deformed
1.2999999523162842,0.0014692769618704915,-0.00981835462152958,0.003159270389005542,6.927413753743394e-09,0.0001289819338126108,1.575236274220515e-05,0.5002000331878662,0.0001289819338126108,8.738327323953854e-07,0.0014385629910975695,0.001617453875951469,-4.900634667137638e-05,0.0,0.0,0.5002000331878662,2233,0.16,0.0,0.3571428656578064,0.16218592,8.640158921480179e-05,0.35742584842955694
1.320000410079956,0.0015293051255866885,-0.010057324543595314,0.0033733099699020386,7.090457110336956e-09,0.0001363397022942081,1.6293066437356174e-05,0.5002000331878662,0.0001363397022942081,9.25135395846155e-07,0.0014982492430135608,0.0016872351989150047,-5.1687893574126065e-05,0.0,0.0,0.5002000331878662,2232,0.12,0.0,0.3571428656578064,0.12028839,0.00012325402349233627,0.35744468442862853
1.340000867843628,0.0015814679209142923,-0.010428926907479763,0.003382357070222497,6.298115806657734e-09,0.0001409772812621668,1.6818565200082958e-05,0.5002000331878662,0.00014097729581408203,9.729815246828366e-07,0.0015596926677972078,0.0017556839156895876,-5.4019536037230864e-05,0.0,0.0,0.5002000331878662,2231,0.08,0.0,0.3571428656578064,0.07964684,0.000134163536131382,0.3572932191455038
1.3600013256072998,0.0015970300883054733,-0.010568729601800442,0.003518292447552085,7.566127280256296e-09,0.0001479571219533682,1.7435075278626755e-05,0.5002000331878662,0.00014795710740145296,1.022404489958717e-06,0.001623233431018889,0.0018288074061274529,-5.6557386415079236e-05,0.0,0.0,0.5001999735832214,2230,0.04,0.0,0.3571428656578064,0.039593983,-0.0002917414531111717,0.3577227477217093
1.380000114440918,0.0016908444231376052,-0.010946395806968212,0.0035855129826813936,8.306145993230984e-09,0.00015295820776373148,1.794592390069738e-05,0.5002000331878662,0.0001529582223156467,1.0771989309432684e-06,0.0016869980609044433,0.0019005108624696732,-5.94507873756811e-05,0.0,0.0,0.5002000331878662,380,0.0,0.0,0.3571428656578064,1.4015473e-05,-0.0006489423103630543,0.35757946665398777
1.4000005722045898,0.0016979058273136616,-0.011007859371602535,0.0036346190609037876,7.686475456125663e-09,0.00015935912961140275,1.859960684669204e-05,0.5002000331878662,0.00015935912961140275,1.1213744528504321e-06,0.0017534303478896618,0.00197658222168684,-6.263791874516755e-05,0.0,0.0,0.5002000331878662,398,0.24,0.0,0.39682537317276,0.25038692,8.04397277534008e-05,0.39702778072387446
1.4200010299682617,0.0017744257347658277,-0.011458235792815685,0.0037701029796153307,7.931650003456525e-09,0.00016523737576790154,1.9080956917605363e-05,0.5001999735832214,0.00016523739031981677,1.1740065701815183e-06,0.0018212273716926575,0.0020534249488264322,-6.574822327820584e-05,0.0,0.0,0.5001999139785767,2229,0.2,0.0,0.39682537317276,0.20540267,8.527841418981552e-05,0.3970805202261545
1.4400014877319336,0.0017845211550593376,-0.011481966823339462,0.003769585629925132,8.58794635405502e-09,0.00017179222777485847,1.980064007511828e-05,0.5002000331878662,0.00017179222777485847,1.2074222013325198e-06,0.0018920527072623372,0.002133728237822652,-6.863321323180571e-05,0.0,0.0,0.5001999735832214,2228,0.16,0.0,0.39682537317276,0.16227123,6.298115476965904e-05,0.3971086081583053
1.4600002765655518,0.0019007216906175017,-0.0120128458365798,0.004002152010798454,9.91253923388058e-09,0.0001786936045391485,2.028016206168104e-05,0.5002000331878662,0.00017869361909106374,1.271344785891415e-06,0.001960849156603217,0.0022126699332147837,-7.181276305345818e-05,0.0,0.0,0.5001999735832214,2227,0.12,0.0,0.39682537317276,0.1202392,7.422314956784248e-05,0.3970930041105021
1.4800007343292236,0.0018977619474753737,-0.01201772503554821,0.003962834365665913,1.1994678139615189e-08,0.00018495231051929295,2.102131475112401e-05,0.5002000331878662,0.00018495231051929295,1.3024252893956145e-06,0.002033934695646167,0.002295064041391015,-7.482339424313977e-05,0.0,0.0,0.5001999735832214,2226,0.08,0.0,0.39682537317276,0.07968188,8.658785372972488e-05,0.39704528969014063
1.500001311302185,0.0020028362050652504,-0.012520888820290565,0.004185840021818876,1.2130774607044259e-08,0.00019229852478019893,2.1524165276787244e-05,0.5002000331878662,0.00019229852478019893,1.3722556104767136e-06,0.0021087187342345715,0.0023809880949556828,-7.853702118154615e-05,0.0,0.0,0.5001999735832214,2225,0.04,0.0,0.39682537317276,0.039422385,-0.0003952709957957268,0.39742401661351323
1.5200005769729614,0.002012626500800252,-0.012539076618850231,0.004121817648410797,1.2027655316160235e-08,0.00019795850676018745,2.225900607299991e-05,0.5002000331878662,0.00019795850676018745,1.4051803418624331e-06,0.002186223864555359,0.002468122635036707,-8.247796358773485e-05,0.0,0.0,0.5001999735832214,379,0.0,0.0,0.39682537317276,1.8427614e-05,-0.0009002177976071835,0.39738684007897973
1.5400010347366333,0.002098129130899906,-0.013017738237977028,0.0043661040253937244,1.0570938790976925e-08,0.00020621098519768566,2.27982054639142e-05,0.5001999735832214,0.00020621098519768566,1.4677553963338141e-06,0.002262590918689966,0.002556390827521682,-8.604945469414815e-05,0.0,0.0,0.5001999139785767,399,0.24,0.0,0.4365079402923584,0.25002024,2.0075123757123947e-05,0.436721265403321
1.5600005388259888,0.0021339328959584236,-0.0130530446767807,0.004287120886147022,9.580805482301002e-09,0.00021197808382567018,2.3516840883530676e-05,0.5002000331878662,0.00021197808382567018,1.496343770668318e-06,0.002342724474146962,0.0026460459921509027,-8.978056575870141e-05,0.0,0.0,0.5001999735832214,2224,0.2,0.0,0.4365079402923584,0.20535338,3.835279494524002e-05,0.43673978085280396
1.5800002813339233,0.002206008415669203,-0.0135343661531806,0.004558022134006023,9.308582349376593e-09,0.00022114819148555398,2.410287743259687e-05,0.5002000331878662,0.00022114817693363875,1.5635255294910166e-06,0.002425959100946784,0.0027429647743701935,-9.42115075304173e-05,0.0,0.0,0.5001999735832214,2223,0.16,0.0,0.4365079402923584,0.16215728,8.88388603925705e-06,0.4367330194218084
