qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,margin,mu_signed,n_eff,rel,mu_star_null,mu_star_mde,verdict
H_MPa,beta,50.52978433201774,16.122965664780494,88.33611738025597,42.4685235602359,0.8404651656770699,nan,50.52978433201774,7,0.24415995606273286,,,n/a
H_MPa,K,5.798981755158496,1.8142037412054433,11.966511144326848,6.599253921803263,1.1380021873551995,nan,-4.845416272654531,6,0.028020684221502383,,,n/a
H_MPa,mu_eff,15.47155678091992,3.1482109099127045,29.246537910557294,21.242620150316075,1.3730111617799985,nan,3.448362008775029,5,0.07475857405268765,,,n/a
H_MPa,phi,7.471433516872517,1.4526351197862999,17.389164924488895,10.402816499722036,1.3923454550227428,nan,4.384024218700281,5,0.03610197239748201,,,n/a
residual_depth_mm,X,0.02283258582579328,0.01575427934920212,0.0327146699191144,0.009311725762141053,0.4078261583329681,nan,0.02283258582579328,6,1.0,,,n/a
residual_depth_mm,h,0.001540332262441901,0.0003699149443101385,0.002676692104862881,0.002101324096769428,1.3642018335954231,nan,-5.892940644409109e-06,6,0.06746201565579289,,,n/a
residual_depth_mm,w,0.006133328515868006,0.003034882657407811,0.009258616947865008,0.005531801826417028,0.9019249192514762,nan,-0.004605983045470604,6,0.26862172172104004,,,n/a
residual_depth_mm,eps_c,0.0009289044666087364,0.0002832066714340597,0.002189255010711649,0.0012603713316520094,1.3568363345838987,nan,0.0006519151153096348,5,0.04068327931387347,,,n/a
residual_depth_mm,beta,0.005240773207330964,0.0019184903357448598,0.008705187757325273,0.004192934570068803,0.800060297248427,nan,-0.005104470358351034,7,0.22953042845504695,,,n/a
residual_depth_mm,K,0.007409029544617563,0.0024952086670278085,0.014359747097519672,0.009103629060569005,1.2287208474128055,nan,0.004745701399791019,6,0.3244936688794927,,,n/a
residual_depth_mm,mu_eff,0.012870826324240988,0.004167917952748097,0.026564623676625793,0.01261765373013204,0.9803297327047198,nan,-0.012014644400623537,5,0.5637042787199865,,,n/a
residual_depth_mm,phi,0.0012837178640153443,0.00019452987889865216,0.003960525511027369,0.002412553520642188,1.8793487169337628,nan,0.0008249955317786862,5,0.05622306092747354,,,n/a
pile_up_mm,X,0.01859879854300959,0.014959253276777907,0.0234996843800326,0.004553498901729781,0.2448275834162001,nan,0.01859879854300959,6,1.0,,,n/a
pile_up_mm,h,0.002749038242382307,0.0009236679799943504,0.004686192594579894,0.0025722734864215132,0.9356994190784301,nan,-0.0022778142845330464,6,0.1478073024999532,,,n/a
pile_up_mm,w,0.005507516947737292,0.004953314128294332,0.006355232515428704,0.0008046180650900213,0.14609452367106932,nan,-0.005507516947737292,6,0.2961221895597825,,,n/a
pile_up_mm,eps_c,0.0008282636341912182,9.304094132876486e-05,0.00214217030436832,0.0013020780759445206,1.572057521535365,nan,-0.0004717152535447866,5,0.0445331795102713,,,n/a
pile_up_mm,beta,0.0054085877057439115,0.003513154802406209,0.007080613820463791,0.0020379540005572294,0.3767996585121335,nan,-0.0054085877057439115,7,0.2908030695228292,,,n/a
pile_up_mm,K,0.00213158187048109,0.0013216706369384005,0.0031860102475842213,0.0009704410687429968,0.4552680252079513,nan,0.00213158187048109,6,0.11460857891179488,,,n/a
pile_up_mm,mu_eff,0.00795997653763754,0.0007643388487852226,0.01966576170364821,0.010435940107718544,1.3110516165938162,nan,0.007346091844231795,5,0.42798337318564694,,,n/a
pile_up_mm,phi,0.00046405559485969097,0.00011776009274463318,0.0010657224281840558,0.00047222369774919487,1.0176015610629014,nan,0.00046405559485969097,5,0.024950837215993588,,,n/a
pile_up_ratio,X,8.101466930784223,1.5165988968447912,17.74815615163873,10.531547095715,1.299955574180878,nan,-7.084521812555722,6,0.5227235912349839,,,n/a
pile_up_ratio,h,0.31199721389445634,0.06914557870346627,0.639339024020754,0.4351346542024754,1.3946748074156665,nan,-0.1486846145004947,6,0.020130712807394337,,,n/a
pile_up_ratio,w,3.341687778601002,0.14146597688343812,12.652841209339634,7.692752811235128,2.3020561228062126,nan,-3.120890518624874,6,0.21561268488042612,,,n/a
pile_up_ratio,eps_c,0.16363574453164204,0.01178739525080709,0.43314092952709704,0.2685278164173404,1.6410095311749906,nan,0.0622595340375823,5,0.010558120494322672,,,n/a
pile_up_ratio,beta,0.6761450248861955,0.27379074382540136,1.2587057776994892,0.9301210596296628,1.375623609426417,nan,-0.14079553163195882,7,0.04362629121661637,,,n/a
pile_up_ratio,K,3.005689232381751,0.2813774505666782,9.319490363248994,5.419029549180606,1.8029240983394978,nan,-2.692593388330465,6,0.19393335591074543,,,n/a
pile_up_ratio,mu_eff,15.498567630444498,0.5101088442724534,47.60383943456135,25.542206028080756,1.6480365564819752,nan,15.465467848724183,5,1.0,,,n/a
pile_up_ratio,phi,2.3914156828606954,0.022906591167907223,8.741887747347043,5.227828883298822,2.186081207364631,nan,-2.2508967518842513,5,0.15429914169378695,,,n/a
